query,intent,product_fit,target_page,decision,reason,source,google_metrics_status
365 days photo app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 2; pilot-v2/keywords_enriched_v2.csv row 2,not_collected_no_paid_checks
tracker,progress_timeline,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 171.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 171; pilot-v2/keywords_enriched_v2.csv row 171,not_collected_no_paid_checks
tracking,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 172.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 172; pilot-v2/keywords_enriched_v2.csv row 172,not_collected_no_paid_checks
tracking app,unclear,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 173.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 173; pilot-v2/keywords_enriched_v2.csv row 173,not_collected_no_paid_checks
transformation photo tracker,progress_timeline,current_product_fit,/progress-photos/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 174; pilot-v2/keywords_enriched_v2.csv row 174,not_collected_no_paid_checks
video,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 175.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 175; pilot-v2/keywords_enriched_v2.csv row 175,not_collected_no_paid_checks
video diary,mixed,fit_with_copy_limitations,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 176; pilot-v2/keywords_enriched_v2.csv row 176; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 6; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 6,not_collected_no_paid_checks
waist,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 177.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 177; pilot-v2/keywords_enriched_v2.csv row 177,not_collected_no_paid_checks
weight loss,unclear,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 178.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 178; pilot-v2/keywords_enriched_v2.csv row 178,not_collected_no_paid_checks
weight loss photo tracker,outcome_specific_tracker,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 179; pilot-v2/keywords_enriched_v2.csv row 179,not_collected_no_paid_checks
weight loss progress photos,progress_timeline,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 180; pilot-v2/keywords_enriched_v2.csv row 180,not_collected_no_paid_checks
weight progress photos,progress_timeline,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 181; pilot-v2/keywords_enriched_v2.csv row 181,not_collected_no_paid_checks
weight tracker,progress_timeline,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 182.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 182; pilot-v2/keywords_enriched_v2.csv row 182,not_collected_no_paid_checks
work,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 183.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 183; pilot-v2/keywords_enriched_v2.csv row 183,not_collected_no_paid_checks
workout progress photos,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 184; pilot-v2/keywords_enriched_v2.csv row 184,not_collected_no_paid_checks
zozofit,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 185.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 185; pilot-v2/keywords_enriched_v2.csv row 185,not_collected_no_paid_checks
one second a day,one_second_snippet,requires_small_product_change,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 2; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 2,not_collected_no_paid_checks
1 second a day,one_second_snippet,requires_small_product_change,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 3; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 3,not_collected_no_paid_checks
one second every day,one_second_snippet,requires_small_product_change,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 4; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 4,not_collected_no_paid_checks
daily video diary,daily_video_diary,fit_with_copy_limitations,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 5; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 5,not_collected_no_paid_checks
video journal,mixed,fit_with_copy_limitations,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 7; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 7,not_collected_no_paid_checks
daily video journal,mixed,fit_with_copy_limitations,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 8; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 8,not_collected_no_paid_checks
one second video diary,one_second_snippet,requires_small_product_change,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 9; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 9,not_collected_no_paid_checks
photo timeline maker,video_editor,fit_with_copy_limitations,/photo-progress-video/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 11; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 11,not_collected_no_paid_checks
photo album timeline,photo_storage,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 12; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 12,not_collected_no_paid_checks
life timeline,life_memory_timeline,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 13; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 13,not_collected_no_paid_checks
memory timeline,life_memory_timeline,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 14; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 14,not_collected_no_paid_checks
private video diary,daily_video_diary,fit_with_copy_limitations,,exclude_current_product,May imply a video-native or one-second daily recording workflow that is not verified in PhotoDays.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 15; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 15,not_collected_no_paid_checks
live photo diary,mixed,current_product_fit,/photo-diary/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 16; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 16,not_collected_no_paid_checks
live photo journal,mixed,current_product_fit,/photo-diary/,supporting,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 17; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 17,not_collected_no_paid_checks
live photo timeline,video_editor,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 18; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 18,not_collected_no_paid_checks
live photo timelapse,timelapse_camera,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 19; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 19,not_collected_no_paid_checks
daily moments video,mixed,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 20; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 20,not_collected_no_paid_checks
year in review video,video_editor,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 21; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 21,not_collected_no_paid_checks
photodays,brand_navigation,current_product_fit,/,target,Brand or explicit website-plan seed; not an App Store metric.,Approved website SEO plan 2026-09-13,not_collected_no_paid_checks
photodays app,brand_navigation,current_product_fit,/,target,Brand or explicit website-plan seed; not an App Store metric.,Approved website SEO plan 2026-09-13,not_collected_no_paid_checks
photo tracker,photo_workflow,current_product_fit,/,target,Brand or explicit website-plan seed; not an App Store metric.,Approved website SEO plan 2026-09-13,not_collected_no_paid_checks
photo progress video,photo_workflow,current_product_fit,/photo-progress-video/,target,Brand or explicit website-plan seed; not an App Store metric.,Approved website SEO plan 2026-09-13,not_collected_no_paid_checks
photo time lapse,photo_workflow,current_product_fit,/photo-progress-video/,target,Brand or explicit website-plan seed; not an App Store metric.,Approved website SEO plan 2026-09-13,not_collected_no_paid_checks
